sentence1,relation,relationscore,structure,structurescore
Mr McDonnell is leading Grant Thornton International's inquiry into the Italian business.,Grant Thornton International's inquiry into the Italian business is being led by Mr. McDonnell.,4,"Leading Grant Thornton International's inquiry into the Italian business, Mr McDonnell is.",5
The industry's largest association is urging its members not call the more than 50 million home and cellular numbers on the list.,Its members are being urged by the industry's largest association not to call the more than 50 million home and cellular numbers on the list.,3,The industry's largest association is urging its members not to call the more than 50 million home and cellular numbers on the list.,5
"The workers accuse General Dynamics of ""reverse age discrimination"" because of a change in retirement benefits in 1997.","Accusing General Dynamics of ""reverse age discrimination"", the workers cite a change in retirement benefits in 1997.",3,"Because of a change in retirement benefits in 1997, the workers accuse General Dynamics of ""reverse age discrimination.""",5
"The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points, or 0.32 percent, at 1,590.75, breaking a six-day string of gains.","Breaking a six-day string of gains, the tech-laced Nasdaq Composite Index .IXIC eased 5.16 points, or 0.32 percent, at 1,590.75.",2,"Breaking a six-day string of gains, the tech-laced Nasdaq Composite Index .IXIC eased 5.16 points, or 0.32 percent, at 1,590.75.",4
The Space Infrared Telescope Facility's mission is to search for the beginnings of the universe.,The beginnings of the universe are being searched for by the Space Infrared Telescope Facility.,4,To search for the beginnings of the universe is the mission of the Space Infrared Telescope Facility.,5
The respected medical journal Lancet has called for a complete ban on tobacco in the United Kingdom.,A complete ban on tobacco in the United Kingdom has been called for by the respected medical journal Lancet.,4,"For a complete ban on tobacco in the United Kingdom, the respected medical journal Lancet has called.",4
"The driver of the truck escaped and is now being sought by the police, Supoyo said.",Supoyo said the police are now seeking the driver of the truck who escaped.,4,"Sought by the police now is the driver of the truck who escaped, Supoyo said.",3
"""In so many different ways, the artistry of black musicians has conveyed the experience of black Americans throughout our history,"" Bush said.","""Throughout our history, the artistry of black musicians has conveyed the experience of black Americans in so many different ways,"" Bush said.",5,"""The experience of black Americans throughout our history has been conveyed by the artistry of black musicians in so many different ways,"" said Bush.",5
"Geraldine Andrews, the pastor's daughter-in-law, said Robinson recently took her daughter out of a mental health facility.","Robinson recently took Geraldine Andrews, the pastor's daughter-in-law, daughter out of a mental health facility, said.",4,"Robinson recently took her daughter out of a mental health facility, said Geraldine Andrews, the pastor's daughter-in-law.",5
"Before Thursday's matinee, Baker called a clubhouse meeting, concerned that the controversy had distracted the Cubs.","Baker called a clubhouse meeting before Thursday's matinee, concerned that the controversy had distracted the Cubs.",5,"Concerned that the controversy had distracted the Cubs, Baker called a clubhouse meeting before Thursday's matinee.",4
She was taken by ambulance to Charing Cross Hospital in Hammersmith.,She was taken to Charing Cross Hospital in Hammersmith by ambulance.,4,"By ambulance to Charing Cross Hospital in Hammersmith, she was taken.",3
"Shortly after the opening bell, the Dow Jones Industrial Average was up 11.13 to 9,228.48, while the S&P 500 index gained 1.74 to 982.33.","Shortly after the opening bell, the Dow Jones Industrial Average gained 11.13 to 9,228.48, while the S&P 500 index gained 1.74 to 982.33.",5,"The Dow Jones Industrial Average was up 11.13 to 9,228.48, while the S&P 500 index gained 1.74 to 982.33 shortly after the opening bell.",5
"In addition, primary care trusts (PCTs) were given star ratings for the first time this year.","For the first time this year, star ratings were given to primary care trusts (PCTs).",4,"Primary care trusts (PCTs) were given star ratings for the first time this year, in addition.",4
"""We are expending all available resources toward the investigation,"" said Assistant U.S. Attorney Todd Greenberg, a counterterrorism prosecutor in Seattle.","""Assistant U.S. Attorney Todd Greenberg, a counterterrorism prosecutor in Seattle, said we are expending all available resources toward the investigation.""",4,"""We are expending all available resources toward the investigation,"" said counterterrorism prosecutor Todd Greenberg, an Assistant U.S. Attorney in Seattle.",5
"The technology-laced Nasdaq Composite Index .IXIC shed 15 points, or 0.98 percent, to 1,492.","The Nasdaq Composite Index .IXIC shed 15 points, or 0.98 percent, to 1,492 technology-laced.",4,"Shedding 15 points, or 0.98 percent, to 1,492, the technology-laced Nasdaq Composite Index .IXIC.",5
The research firm earlier had forecast an increase of 4.9 percent.,"Earlier, the research firm had forecast an increase of 4.9 percent.",4,"Forecasting an increase of 4.9 percent, the research firm earlier had.",4
"PeopleSoft will commit $863 million in cash and issue 52.6 million new shares, the companies said.",The companies said PeopleSoft will commit $863 million in cash and issue 52.6 million new shares.,4,The companies said PeopleSoft will commit $863 million in cash and issue 52.6 million new shares.,5
"So in his State of the Union address in January, Bush declared that the British government ""has learned that Saddam Hussein recently sought significant quantities of uranium from Africa.""","In January, Bush declared in his State of the Union address that the British government ""has learned that Saddam Hussein recently sought significant quantities of uranium from Africa.""",4,"""Has learned that Saddam Hussein recently sought significant quantities of uranium from Africa,"" Bush declared in his State of the Union address in January.",5
"The other 24 members are split between representatives of the securities industry and so-called ""public"" board members.","Representatives of the securities industry and so-called ""public"" board members split the other 24 members.",3,"Representatives of the securities industry and so-called ""public"" board members make up the other 24 members.",5
The Episcopal Diocese of Central Florida became one of the first in the nation Saturday to officially reject the national denomination's policies on homosexuality.,"One of the first in the nation Saturday, the Episcopal Diocese of Central Florida officially rejected the national denomination's policies on homosexuality.",4,"One of the first in the nation Saturday to officially reject the national denomination's policies on homosexuality, the Episcopal Diocese of Central Florida became.",3
McGill also detailed the hole that had been cut in the Caprice's trunk.,McGill also detailed the hole in the Caprice's trunk that had been cut.,4,"Detailing the hole that had been cut in the Caprice's trunk, McGill also.",4
"That compared with a year-earlier profit of $102 million, or 13 cents a share.","Compared with a year-earlier profit of $102 million, or 13 cents a share.",4,"Compared with a year-earlier profit of $102 million, or 13 cents a share, that was.",4
"""The economy, nonetheless, has yet to exhibit sustainable growth.","""Nonetheless, the economy has yet to exhibit sustainable growth.""",3,"""Nonetheless, the economy has yet to show sustainable growth.",4
The commission estimated California lost $937 million to corporate tax shelters in 2001.,"In 2001, the commission estimated California lost $937 million to corporate tax shelters.",4,"California lost $937 million to corporate tax shelters in 2001, the commission estimated.",5
"In other markets, U.S. Treasuries started off on Monday weaker, as stocks rose early.","As stocks rose early, U.S. Treasuries started off on Monday weaker in other markets.",4,"Stocks rose early on Monday, causing U.S. Treasuries to weaken in other markets.",4
"The technology-laced Nasdaq Composite Index .IXIC was down 25.36 points, or 1.53 percent, at 1,628.26.","At 1,628.26, the technology-laced Nasdaq Composite Index .IXIC was down 25.36 points, or 1.53 percent.",4,"Down 25.36 points, or 1.53 percent, at 1,628.26 was the technology-laced Nasdaq Composite Index .IXIC.",4
"The Pentagon had hoped to retain control of the postwar effort, so the decision is a victory for Secretary of State Colin L. Powell.","So the decision is a victory for Secretary of State Colin L. Powell, the Pentagon had hoped to retain control of the postwar effort.",3,Secretary of State Colin L. Powell's victory was the decision made to not retain control of the postwar effort by the Pentagon.,3
"Prof Sally Baldwin, 63, from York, fell into a cavity which opened up when the structure collapsed at Tiburtina station, Italian railway officials said.","When the structure collapsed at Tiburtina station, Italian railway officials said, Prof Sally Baldwin, 63, from York, fell into a cavity which opened up.",4,"From York, Prof Sally Baldwin, 63, fell into a cavity which opened up when the structure collapsed at Tiburtina station, Italian railway officials said.",3
It calls for the agency to plan an independent safety and engineering organization.,"To plan an independent safety and engineering organization, it calls for the agency.",3,"To plan an independent safety and engineering organization, it calls for the agency.",5
"WorldCom's accounting problems came to light early last year, and the company filed for bankruptcy in July 2002, citing massive accounting irregularities.","Citing massive accounting irregularities, WorldCom's accounting problems came to light early last year, and the company filed for bankruptcy in July 2002.",3,"WorldCom filed for bankruptcy in July 2002, citing massive accounting irregularities, after its accounting problems came to light early last year.",4
"The study also found that consumer goods advertisers continued to spend the most dollars online, representing 35% of all Web advertising.","Representing 35% of all Web advertising, the study also found that consumer goods advertisers continued to spend the most dollars online.",4,"Consumer goods advertisers continued to spend the most dollars online, representing 35% of all Web advertising, as the study found.",5
Kiernan testified that Seifert had received a gunshot wound to the back.,"That Seifert had received a gunshot wound to the back, Kiernan testified.",3,"That Seifert had received a gunshot wound to the back, Kiernan testified.",5
"It is priced at $5,995 for an unlimited number of users tapping into the single processor, or $195 per user with a minimum of five users.","For an unlimited number of users tapping into the single processor, it is priced at $5,995 or $195 per user with a minimum of five users.",3,"For an unlimited number of users tapping into the single processor, it is priced at $5,995, or $195 per user with a minimum of five users.",5
Tropical storm heads for pass along Honduras coast,"For pass along Honduras coast, tropical storm heads.",2,"For pass along Honduras coast, tropical storm heads.",4
Suicide bomber kills 12 in Nigeria church,12 kills in Nigeria church by suicide bomber,3,"Kills 12 in Nigeria church, suicide bomber.",4
US says ready to help blind Chinese activist,Ready to help blind Chinese activist says US,4,"Ready to help blind Chinese activist, US says.",5
Gazans fire 2 rockets into Israel; no injuries,2 rockets fired into Israel by Gazans; no injuries,3,"Into Israel, Gazans fire 2 rockets; no injuries.",5
Berri says ready to help launch national unity government,Ready to help launch national unity government says Berri,4,"Ready to help launch national unity government, Berri says.",5
13 dead in Iraq bomb attacks,Dead in Iraq bomb attacks: 13,3,"In Iraq bomb attacks, 13 dead.",4
Hurricane Isaac Moves Inland After Landfall,Moves Inland After Landfall: Hurricane Isaac,3,"After landfall, Hurricane Isaac moves inland.",5
Nigeria mourns over 193 people killed in plane crash,Over 193 people killed in plane crash: Nigeria mourns,3,"Over 193 people killed in plane crash, Nigeria mourns.",4
ICC jails Congolese warlord for 14 years over child soldiers,"For 14 years, ICC jails Congolese warlord over child soldiers",4,"For 14 years over child soldiers, ICC jails Congolese warlord.",4
"7 soldiers killed, 56 injured in PKK attack in eastern Turkey","In eastern Turkey, 7 soldiers killed, 56 injured in PKK attack",3,"In eastern Turkey, 7 soldiers killed, 56 injured in PKK attack.",5
Schiphol airport partly evacuated after bomb threat,Partly evacuated after bomb threat: Schiphol airport,4,"Partly evacuated after bomb threat, Schiphol airport.",4
MIER ups 2012 growth forecast to 4.2pc,MIER ups growth forecast to 4.2pc in 2012,4,"Forecasting 2012 growth to 4.2pc, MIER ups.",4
Activists: Syrian troops storm Damascus suburb,"Syrian troops storm Damascus suburb, say activists",4,"Damascus suburb stormed by Syrian troops, activists say.",5
Tehran: EU sanctions won't force Iran into nuclear talks,"EU sanctions won't force Iran into nuclear talks, says Tehran",4,Iran says EU sanctions won't force them into nuclear talks.,5
Portugal Drownings: UK Girl And Grandad Named,UK Girl And Grandad Named in Portugal Drownings,4,Named are UK girl and grandad in Portugal drownings.,4
"Iran, powers set for high-stakes nuclear talks",Powers set for high-stakes nuclear talks with Iran,4,High-stakes nuclear talks set for Iran and powers.,5
Syrian forces kill teen in Aleppo protests,Teen killed in Aleppo protests by Syrian forces,4,Teen killed in Aleppo protests by Syrian forces.,5
"Jaguar to create 1,100 jobs in UK","Jaguar to create 1,100 jobs in the UK",4,"Creating 1,100 jobs in the UK, Jaguar is.",4
Iraq searches Syria bound Iran plane: officials,Officials search Iran plane bound for Syria in Iraq,3,Officials say Iraq searches Iran plane bound for Syria.,5
Syria fighting rages as Russia urges Western re-think,Fighting rages in Syria as Russia urges Western re-think,3,Fighting rages in Syria as Russia urges Western re-think.,5
Erdogan's party submits plan for Turkish presidency,Party of Erdogan submits plan for Turkish presidency,4,Plan for Turkish presidency submitted by Erdogan's party.,5
Publisher acquitted in privacy case,Privacy case acquitted in publisher,3,"In privacy case, publisher acquitted.",4
Samsung overtakes Nokia in phones,Nokia overtakes Samsung in phones,2,"In phones, Samsung overtakes Nokia.",5
Gu Kailai murder trial ends in China,China murder trial ends in Gu Kailai,1,"In China, Gu Kailai murder trial ends.",5
Not 'hiding the ball' on Russia: Obama,Not 'hiding the ball' on Obama: Russia,0,"On Russia, Obama not 'hiding the ball'.",5
England captain Andrew Strauss retires from professional cricket,Professional cricket retires from Andrew Strauss England captain,0,"From professional cricket, England captain Andrew Strauss retires.",4
China backs Sri Lanka on UN resolution,Sri Lanka backs China on UN resolution,0,"On UN resolution, Sri Lanka backed by China.",5
Ton up: Tendulkar reaches 100th international hundred,100th international hundred reaches Ton up: Tendulkar,0,"Reaches 100th international hundred, ton up: Tendulkar.",5
Conspiracy against me - Lance,Lance against me - conspiracy,1,#NAME?,2
"Mursi takes oath of office, becomes Egyptian president","Egyptian president takes oath of office, becomes Mursi",1,"Becomes Egyptian president, Mursi takes oath of office.",4
Syrian opposition pleads for criminal court action,Change10. Criminal court action pleads for Syrian opposition,1,"Pleads for criminal court action, Syrian opposition.",4
Sunderland 2-2 Bolton: Davies double gets Trotters a point but they stay in bottom three,Davies double gets Trotters a point but they stay in bottom three: Sunderland 2-2 Bolton,4,"Getting Trotters a point, Davies double, but they stay in bottom three, Sunderland 2-2 Bolton.",3
"Syrian forces shell towns, clash with rebels","Towns shell Syrian forces, clash with rebels",0,"Clashing with rebels, Syrian forces shell towns.",4
Bahraini protesters and police clash after funeral,Police and Bahraini protesters clash after funeral,4,"After funeral, Bahraini protesters and police clash.",4
Apple buying security firm AuthenTec for $356 million,Security firm AuthenTec bought by Apple for $356 million,4,"For $356 million, Apple buying security firm AuthenTec.",5
Trade newspaper Variety up for sale,Variety trade newspaper up for sale,4,"Up for sale, trade newspaper Variety.",5
Australians flee homes amid floods,"Homes amid floods, Australians flee",1,"Amid floods, Australians flee homes.",5
Germany dodges recession with growth in first quarter,Germany with growth in first quarter dodges recession,2,"With growth in first quarter, Germany dodges recession.",5
Asian stocks rise after Greek vote eases fears,Asian stocks rise after fears eases Greek vote,2,"Easing fears after Greek vote, Asian stocks rise.",5
British soldier killed in southern Afghanistan,"Soldier killed in southern Afghanistan, British",2,"In southern Afghanistan, British soldier killed.",4
Obama silent on China dissident,"China dissident, Obama silent on",2,"On China dissident, Obama silent.",5
Suicide Bomber Kills 6 in Afghan Capital,Afghan Capital Kills 6 in Suicide Bomber,2,"Kills 6 in Afghan Capital, Suicide Bomber.",3
Denver shooting: Police to detonate devices in suspect's home,Police to detonate devices in suspect's home: Denver shooting,2,"Police to detonate devices in suspect's home, Denver shooting.",5
Syria hands over bodies of journalists,Bodies of journalists handed over by Syria,4,"Bodies of journalists, Syria hands over.",3
Coroner: Whitney Houston died in bathtub,Whitney Houston died in bathtub: Coroner,4,"Died in bathtub, Whitney Houston, Coroner says.",4
Japan suffers severe flooding - in pictures,Severe flooding in pictures: Japan suffers,1,Pictures show severe flooding in Japan.,4
Japan to deport Chinese held over island landing,Chinese held over island landing to be deported: Japan,4,"Chinese held over island landing, Japan to deport.",3
Some Syria violence amounts to civil war-Red Cross,Civil war-Red Cross: Some Syria violence amounts to,2,"Red Cross says, some Syria violence amounts to civil war.",5
Romney Wins Nevada Caucus,Nevada Caucus won by Romney,4,"Nevada Caucus, Romney Wins.",5
Apple iPad mini makes debut,Debut made by Apple iPad mini,4,"Makes debut, Apple iPad mini.",3
Hamas hangs three Gaza prisoners,Three Gaza prisoners hanged by Hamas,2,"Gaza prisoners, Hamas hangs three.",3
East Timor votes in presidential election,Presidential election votes in East Timor,3,"In the presidential election, East Timor votes.",5
Sunday Times journalist Marie Colvin killed in Syria,Marie Colvin killed in Syria Sunday Times journalist,3,"In Syria, Marie Colvin, Sunday Times journalist, killed.",4
KL shares higher at mid-afternoon,Mid-afternoon shares higher at KL,2,"At mid-afternoon, KL shares higher.",4
Chicago teachers strike in bitter contract dispute,Bitter contract dispute strike in Chicago teachers,1,"In bitter contract dispute, Chicago teachers strike.",5
Israel to free Palestinian hunger striker,Palestinian hunger striker to free Israel,0,"Palestinian hunger striker, Israel to free.",3
Not a good beginning: Hollande's plane hit by lightning en route to Berlin,Hollande's plane hit by lightning en route to Berlin: Not a good beginning,2,"En route to Berlin, Hollande's plane hit by lightning, not a good beginning.",5
Afghan Parliament Votes to Oust Key Ministers,Key Ministers ousted by Afghan Parliament Votes,2,"To oust key ministers, Afghan Parliament votes.",4
Attacker in Afghan uniform kills 2 NATO troops,2 NATO troops killed by attacker in Afghan uniform,1,"2 NATO troops, attacker in Afghan uniform kills.",4
'Arrest warrant' for Maldives ex-president,Maldives ex-president 'arrest warrant' for,2,"Maldives ex-president, 'arrest warrant' for.",4
HRW: Jordan turning away Palestinian refugees from Syria,Jordan turning away Palestinian refugees from Syria: HRW,4,"Turning away Palestinian refugees from Syria, Jordan is, says HRW.",3
Syrian forces overrun rebel stronghold,Rebel stronghold overrun by Syrian forces,4,"Rebel stronghold, overrun, by Syrian forces.",4
Chinese stocks close higher midday Friday,"Midday Friday, Chinese stocks close higher",4,"Higher midday Friday, Chinese stocks close.",4
"Sandy slams into Northeast; at least 18 dead, 7.4M without power","At least 18 dead, 7.4M without power as Sandy slams into Northeast",3,"Slamming into Northeast, Sandy leaves at least 18 dead and 7.4M without power.",4
Putin Declares Victory in Russia Presidential Vote,Russia Presidential Vote: Putin Declares Victory,5,"Declaring victory in Russia Presidential Vote, Putin does.",4
Supreme Court to Hear Voting Rights Act Case,Voting Rights Act Case to be Heard by Supreme Court,4,"Hearing Voting Rights Act Case, Supreme Court is.",3
Libya postpones assembly election to July 7,Assembly election postponed to July 7 by Libya,4,"Assembly election in Libya, postponed to July 7.",4
London 2012 Olympics Opening Ceremony 'to feature a green and pleasant land',Opening Ceremony of London 2012 Olympics 'to feature a green and pleasant land',4,"Featured in London 2012 Olympics Opening Ceremony, a green and pleasant land will be.",4
Pakistan blocks Twitter over anti-Islamic material,Twitter blocked by Pakistan over anti-Islamic material,4,"Twitter, blocked by Pakistan, over anti-Islamic material.",4
Annan to visit Syrian refugees in Turkey Tuesday,Syrian refugees in Turkey to be visited by Annan on Tuesday,4,"Visiting Syrian refugees in Turkey, Annan will, on Tuesday.",4
Pakistani PM shocked at avalanche trapping army personnel,Avalanche shocked Pakistani PM trapping army personnel,2,"Trapping army personnel, avalanche shocks Pakistani PM.",4
Opposition leaders emerge to commemorate Cambodian workers' deaths,Leaders emerge to commemorate Cambodian workers' deaths opposition,1,"To commemorate Cambodian workers' deaths, opposition leaders emerge.",4
Mali due to vote for president,Due to vote for president Mali,3,President to be voted for in Mali.,3
Pussy Riot member Alyokhina released from jail in Russia,Alyokhina released from jail in Russia Pussy Riot member,3,"Released from jail in Russia, Pussy Riot member Alyokhina.",4
Asiana jet crash lands at San Francisco airport,Jet crash lands at San Francisco airport Asiana,3,"At San Francisco airport, Asiana jet crash lands.",5
"Blizzard hammers U.S. Northeast, five dead, 700,000 lose power","U.S. Northeast hammers blizzard, five dead, 700,000 lose power",2,"Five dead and 700,000 lose power as blizzard hammers U.S. Northeast.",5
2 French Journalists Killed in Mali,French Journalists Killed in Mali 2,4,"In Mali, 2 French journalists killed.",4
Vehicles ablaze in collapsed Japan tunnel,Ablaze in collapsed Japan tunnel vehicles,1,"In collapsed Japan tunnel, vehicles ablaze.",5
China stocks close lower on Friday,Stocks close lower on Friday China,1,"On Friday, China stocks close lower.",4
Mayor says 14 dead in Texas fertilizer plant blast,Says 14 dead in Texas fertilizer plant blast Mayor,2,"In Texas fertilizer plant blast, mayor says 14 dead.",5
CBN reiterates plan to phase out polymer notes,Polymer notes reiterates plan to phase out CBN,2,"Plan to phase out polymer notes, CBN reiterates.",4
U.S. files espionage charges agains NSA leaker,NSA leaker files espionage charges against U.S.,2,NSA leaker faces espionage charges filed by the U.S.,5
Chinese general's son gets 10 years jail for rape,10 years jail for rape gets Chinese general's son,2,"10 years jail for rape, Chinese general's son gets.",4
Where's Rusty? Red panda vanishes from National Zoo,"Red panda vanishes from National Zoo, where's Rusty?",2,"The National Zoo is missing Rusty, the red panda.",5
Queen Beatrix of The Netherlands to abdicate for son,"For son, Queen Beatrix of The Netherlands to abdicate",2,"For son, Queen Beatrix of The Netherlands to abdicate.",3
U.S. dumps bombs at Great Barrier Reef,Great Barrier Reef dumps bombs at U.S.,2,"At Great Barrier Reef, bombs U.S. dumps.",2
38 Taliban militants killed in Afghanistan,"In Afghanistan, 38 Taliban militants killed",2,"In Afghanistan, 38 Taliban militants killed.",5
Most powerful typhoon of 2013 hits the Philippines,The Philippines hits most powerful typhoon of 2013,2,"Hits the Philippines, most powerful typhoon of 2013.",3
Calls for more Egypt protests,More Egypt protests calls for,2,"More Egypt protests, calls for.",4
US government 'on the edge of shutdown',"'On the edge of shutdown', US government",2,"'On the edge of shutdown', US government is.",4
123 killed in fighting in northern Syria,Fighting in northern Syria killed 123 people.,4,"In fighting in northern Syria, 123 killed.",5
"Egypt braces for more protests, prays for calm","Prays for calm, Egypt braces for more protests.",3,"For more protests, Egypt braces, for calm prays.",3
Morsi supporters protest in Egypt,Protesters in Egypt support Morsi.,1,"In Egypt, Morsi supporters protest.",5
Stocks rise in early trading,"In early trading, stocks rise.",4,"In early trading, stocks rise.",5
Bangladesh building collapse death toll hits 540: army,The army reports Bangladesh building collapse death toll of 540.,4,"Death toll hits 540: army, Bangladesh building collapse.",5
Defiant Mugabe sworn in for seventh term blasts 'vile' West,"Mugabe, in his seventh term, blasts 'vile' West.",4,"Sworn in for seventh term, Mugabe defiant, 'vile' West blasts.",4
Nelson Mandela in Hospital for Tests,"Hospitalized for tests, Nelson Mandela.",3,"In hospital for tests, Nelson Mandela.",4
"Iran, six global powers sign landmark nuclear deal","Six global powers, including Iran, sign landmark nuclear deal.",4,"Landmark nuclear deal signed, Iran and six global powers.",5
Algeria Mounts Military Operation to Rescue Al Qaeda Hostages,Military operation in Algeria aims to rescue Al Qaeda hostages.,3,"To rescue Al Qaeda hostages, military operation mounts Algeria.",3
Delhi gang rape victim dies in Singapore hospital,Singapore hospital rape victim dies in Delhi gang,2,"In Singapore hospital, the Delhi gang rape victim dies.",4
Birth Control Linked With Higher Glaucoma Risk,Higher Glaucoma Risk Linked With Birth Control,4,"With higher glaucoma risk, birth control is linked.",4
Malaysia sets May 5 as date for closely contested election,May 5 as date for closely contested election sets Malaysia,1,"As date for closely contested election, Malaysia sets May 5.",4
Dhawan smashes India to big win over South Africa,India to big win over South Africa smashes Dhawan,2,"To big win over South Africa, Dhawan smashes India.",3
N Korea postpones family reunions,Family reunions postpones N Korea,1,"Family reunions, N Korea postpones.",4
"Syria rejects US, UK chemical arms claims","US, UK chemical arms claims rejects Syria",1,"US, UK chemical arms claims, Syria rejects.",4
Egypt arrests Muslim Brotherhood Supreme Guide,Muslim Brotherhood Supreme Guide arrests Egypt,1,"Muslim Brotherhood Supreme Guide, Egypt arrests.",4
Gunmen kill nine people in northwest Pakistan,Nine people in northwest Pakistan kill gunmen,1,"In northwest Pakistan, gunmen kill nine people.",5
News summary for March 11,March 11 summary for News,1,March 11 news summary.,2
Hawaii passes gay marriage bill,Gay marriage bill passes Hawaii,3,"Gay marriage bill, Hawaii passes.",4
Syrian Opposition Urges EU to Send Arms to Rebels,EU to Send Arms to Rebels Urges Syrian Opposition,3,"Urges Syrian opposition, EU to send arms to rebels.",3
Funeral of Oscar Pistorius' girlfriend Reeva Steenkamp takes place,"Funeral of Reeva Steenkamp takes place, Oscar Pistorius' girlfriend",3,Takes place funeral of Oscar Pistorius' girlfriend Reeva Steenkamp.,4
Two firefighters killed in New York ambush,New York ambush kills two firefighters,2,"In New York ambush, two firefighters killed.",5
"Ten rescued off Waterford, Dublin coasts","Ten rescued off Dublin, Waterford coasts",3,"Off Waterford, Dublin coasts, ten rescued.",5
Mars rover collects first bedrock sample,First bedrock sample collected by Mars rover,4,First bedrock sample collected by Mars rover.,5
Ankeet Chavan granted conditional bail for marriage,Conditional bail granted for marriage to Ankeet Chavan,3,"For marriage, Ankeet Chavan granted conditional bail.",5
Man who battled Fukushima disaster dies of cancer,Man who battled cancer dies of Fukushima disaster,2,"Of cancer, man who battled Fukushima disaster dies.",3
Iran says nuclear talks to resume next month,"Nuclear talks to resume next month, Iran says",4,"Nuclear talks to resume next month, Iran says.",4
US authorities charge man in ricin probe,Man charged in ricin probe by US authorities,3,"In ricin probe, man charged by US authorities.",5
25 bodies found at raided Algerian gas plant,Bodies found at raided Algerian gas plant: 25,2,"At raided Algerian gas plant, 25 bodies found.",5
Ferrer cruises into Australian Open quarter-finals,Australian Open quarter-finals cruises into Ferrer,2,"Into Australian Open quarter-finals, Ferrer cruises.",3
UBS settles US mortgage lawsuit,US mortgage lawsuit settles UBS,2,"US mortgage lawsuit, UBS settles.",4
"North, South Korea agree to talks","South, North Korea agree to talks",4,"To talks, North, South Korea agree.",4
Gunmen kill female politician in Pakistan,Female politician kill gunmen in Pakistan,0,"Female politician in Pakistan, gunmen kill.",3
Kardashian Divorce Ready for Trial,Divorce Ready for Trial Kardashian,2,"Ready for trial, Kardashian divorce.",5
New Zealand set to legalise gay marriage,Legalise gay marriage set to New Zealand,2,"Gay marriage, New Zealand set to legalise.",4
"Syria regime claims evacuation of 5,000 near Damascus","Evacuation of 5,000 near Damascus claims Syria regime",1,"Near Damascus, evacuation of 5,000, Syria regime claims.",4
Nobel Prize winning author Doris Lessing dies,Author Doris Lessing dies Nobel Prize winning,1,"Doris Lessing dies, Nobel Prize winning author.",4
"Internet, phone service restored in Syrian capital",Phone service restored in Syrian capital Internet,2,"In Syrian capital, internet, phone service restored.",5
Syrian PM Survives Bomb Attack,Bomb Attack Survives Syrian PM,2,"Bomb attack, Syrian PM survives.",4
US stock futures edge up ahead of jobs report,"Ahead of jobs report, US stock futures edge up",4,"Ahead of jobs report, US stock futures edge up.",5
Bomb blast kills 10 in southwest Pakistan,"In southwest Pakistan, bomb blast kills 10",4,"In southwest Pakistan, 10 are killed in bomb blast.",5
David Cameron puts Sri Lanka on notice over war crime allegations,"Over war crime allegations, David Cameron puts Sri Lanka on notice",4,Sri Lanka is put on notice over war crime allegations by David Cameron.,4
Morsi supporters clash with riot police in Cairo,"In Cairo, Morsi supporters clash with riot police",4,Riot police clash with Morsi supporters in Cairo.,4
Afghan police kill 5 Taliban fighters,5 Taliban fighters killed by Afghan police,4,Taliban fighters are killed by Afghan police.,5
Gunmen kidnap airline pilots in Lebanon,"In Lebanon, airline pilots kidnapped by gunmen",4,Airline pilots are kidnapped by gunmen in Lebanon.,5
Kurdish rebels to withdraw from Turkey in March: report,"According to the report, Kurdish rebels to withdraw from Turkey in March",4,A report states that Kurdish rebels will withdraw from Turkey in March.,4
Japan revises GDP growth to annual 1.1 pct in Q3,"In Q3, Japan revises GDP growth to annual 1.1 pct",4,"In Q3, Japan revises GDP growth to annual 1.1 pct.",5
The foundations of South Africa are built on Nelson Mandela's memory,Nelson Mandela's memory built the foundations of South Africa,2,"Built on Nelson Mandela's memory, the foundations of South Africa are.",5
"Ukraine protest leaders name ministers, Russian troops on alert",Change10. Russian troops on alert as Ukraine protest leaders name ministers,1,"Ministers are named by Ukraine protest leaders, Russian troops on alert.",5
"Malala, Snowden, Belarusians Short-Listed For Sakharov Prize","Sakharov Prize short-lists Malala, Snowden, Belarusians",4,"Short-listed for Sakharov Prize are Malala, Snowden, and Belarusians.",5
ElBaradei to Become Egyptian PM,Egyptian PM ElBaradei to Become,3,Egyptian PM will be ElBaradei.,4
Taiwan's economy grows 2.27% in April-June quarter,April-June quarter sees Taiwan's economy grow 2.27%,4,"In April-June quarter, Taiwan's economy grows 2.27%.",5
Tamerlan Tsarnaev buried in Virginia,"Buried in Virginia, Tamerlan Tsarnaev",3,"In Virginia, buried Tamerlan Tsarnaev.",4
"State Dept. issues wide travel alert, says terror attack possible","Wide travel alert issued by State Dept., possible terror attack",4,"Possible terror attack, State Dept. issues wide travel alert.",5
Singapore stocks end up 0.11 pct,0.11 pct increase in Singapore stocks,4,Singapore stocks ended up 0.11%.,4
Russia warns Ukraine against EU deal,Ukraine warned by Russia against EU deal,3,"Against EU deal, Russia warns Ukraine.",4
Hernandez double gives Mexico victory,Mexico victory secured by double from Hernandez,3,Mexico victory given by Hernandez double.,5
China sacks top economic official,Top economic official sacked by China,3,Top economic official sacked by China.,5
Canada approves oil pipeline to the Pacific Coast,Oil pipeline approved by Canada to the Pacific Coast,4,"To the Pacific Coast, oil pipeline approved by Canada.",4
